Data As Of,Start Date,End Date,Group,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,P&C Deaths,Influenza Deaths,P/I/C Deaths
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,45-54 years,915.0,9276.0,644.0,322.0,14.0,1249.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,50-64 years,2577.0,25931.0,1894.0,874.0,53.0,3641.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,55-64 years,2012.0,20475.0,1517.0,676.0,43.0,2889.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,65-74 years,3158.0,29680.0,2689.0,1133.0,42.0,4752.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,75-84 years,3099.0,29480.0,2714.0,1126.0,46.0,4726.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Male,85 years and over,1823.0,19636.0,1576.0,585.0,30.0,2838.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,50-64 years,1986.0,17393.0,1546.0,721.0,40.0,2847.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,55-64 years,1556.0,13740.0,1263.0,574.0,33.0,2274.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,65-74 years,2323.0,22182.0,1896.0,813.0,40.0,3444.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,75-84 years,2531.0,28983.0,2200.0,900.0,38.0,3862.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alabama,Female,85 years and over,2393.0,33026.0,1870.0,694.0,28.0,3593.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alaska,Female,5-14 years,0.0,22.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alaska,Female,55-64 years,76.0,1142.0,82.0,37.0,0.0,121.0
09/27/2023,01/01/2020,09/23/2023,By Total,Alaska,Female,65-74 years,152.0,1791.0,154.0,97.0,10.0,219.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,35-44 years,624.0,7436.0,560.0,354.0,13.0,841.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,40-49 years,935.0,8359.0,820.0,547.0,14.0,1218.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,45-54 years,1446.0,10788.0,1273.0,870.0,17.0,1863.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,50-64 years,3693.0,28277.0,3482.0,2216.0,52.0,5010.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,55-64 years,2827.0,22005.0,2720.0,1697.0,39.0,3889.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,65-74 years,4378.0,34435.0,4426.0,2701.0,44.0,6145.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,75-84 years,4915.0,40197.0,5004.0,2899.0,32.0,7051.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Male,85 years and over,3231.0,31735.0,3312.0,1732.0,31.0,4840.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,35-44 years,376.0,3403.0,340.0,208.0,12.0,520.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,40-49 years,549.0,4256.0,508.0,333.0,16.0,740.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,45-54 years,783.0,6032.0,744.0,473.0,18.0,1069.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,50-64 years,2205.0,17089.0,2274.0,1358.0,33.0,3149.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,55-64 years,1756.0,13477.0,1849.0,1097.0,23.0,2529.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,65-74 years,2922.0,24327.0,3038.0,1781.0,38.0,4215.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,75-84 years,3308.0,33923.0,3453.0,1840.0,45.0,4962.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arizona,Female,85 years and over,3103.0,42094.0,2982.0,1461.0,37.0,4659.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,50-64 years,1370.0,15292.0,1412.0,715.0,38.0,2104.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,55-64 years,1071.0,12095.0,1150.0,574.0,33.0,1680.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,65-74 years,1693.0,17862.0,1878.0,898.0,34.0,2704.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,75-84 years,1929.0,18549.0,2151.0,968.0,31.0,3141.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Male,85 years and over,1264.0,12976.0,1474.0,590.0,15.0,2162.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,45-54 years,306.0,3502.0,355.0,162.0,12.0,511.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,50-64 years,939.0,10118.0,1039.0,512.0,39.0,1502.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,55-64 years,775.0,8074.0,826.0,422.0,30.0,1206.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,65-74 years,1287.0,13232.0,1410.0,665.0,34.0,2062.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,75-84 years,1569.0,17501.0,1665.0,682.0,25.0,2575.0
09/27/2023,01/01/2020,09/23/2023,By Total,Arkansas,Female,85 years and over,1708.0,20279.0,1560.0,604.0,40.0,2701.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,0-17 years,85.0,6577.0,137.0,25.0,24.0,220.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,18-29 years,556.0,18476.0,557.0,257.0,17.0,873.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,25-34 years,1028.0,22081.0,956.0,487.0,33.0,1529.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,30-39 years,1633.0,25812.0,1511.0,830.0,40.0,2350.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,35-44 years,2397.0,28917.0,2160.0,1268.0,43.0,3328.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,40-49 years,3695.0,33902.0,3262.0,2059.0,51.0,4946.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,45-54 years,5650.0,45694.0,5062.0,3252.0,74.0,7531.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,50-64 years,14733.0,122263.0,14457.0,8845.0,213.0,20549.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,55-64 years,11343.0,95083.0,11398.0,6882.0,167.0,16018.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,65-74 years,14985.0,132862.0,17035.0,9133.0,191.0,23058.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,75-84 years,14897.0,145083.0,18340.0,8906.0,187.0,24508.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Male,85 years and over,13160.0,149872.0,16567.0,7105.0,166.0,22783.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,0-17 years,71.0,4851.0,130.0,17.0,16.0,200.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,15-24 years,115.0,3472.0,122.0,47.0,13.0,202.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,18-29 years,268.0,5994.0,287.0,130.0,22.0,445.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,25-34 years,493.0,7612.0,493.0,242.0,27.0,770.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,30-39 years,741.0,9888.0,730.0,372.0,33.0,1131.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,35-44 years,1121.0,12613.0,1126.0,610.0,39.0,1675.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,40-49 years,1726.0,16884.0,1759.0,989.0,44.0,2539.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,45-54 years,2484.0,24147.0,2594.0,1437.0,59.0,3698.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,50-64 years,7218.0,68514.0,8060.0,4421.0,144.0,10996.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,55-64 years,5761.0,54061.0,6521.0,3581.0,108.0,8805.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,65-74 years,8989.0,91300.0,10888.0,5468.0,132.0,14536.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,75-84 years,11153.0,130071.0,13809.0,6362.0,204.0,18792.0
09/27/2023,01/01/2020,09/23/2023,By Total,California,Female,85 years and over,15338.0,215997.0,17648.0,7233.0,269.0,26012.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Male,35-44 years,265.0,5005.0,243.0,120.0,10.0,398.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Male,40-49 years,414.0,5437.0,362.0,203.0,10.0,583.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Male,45-54 years,630.0,6870.0,563.0,340.0,16.0,869.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Male,50-64 years,1707.0,17580.0,1635.0,931.0,47.0,2457.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Male,55-64 years,1341.0,13593.0,1301.0,731.0,37.0,1947.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Male,65-74 years,2032.0,20337.0,2195.0,1198.0,34.0,3063.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Male,75-84 years,2303.0,21858.0,2430.0,1307.0,26.0,3450.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Male,85 years and over,1990.0,19994.0,1881.0,968.0,40.0,2938.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Female,45-54 years,316.0,3780.0,323.0,177.0,13.0,474.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Female,50-64 years,875.0,10447.0,952.0,479.0,40.0,1386.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Female,55-64 years,692.0,8246.0,765.0,380.0,32.0,1108.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Female,65-74 years,1329.0,14486.0,1412.0,727.0,44.0,2055.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Female,75-84 years,1705.0,19794.0,1711.0,838.0,45.0,2622.0
09/27/2023,01/01/2020,09/23/2023,By Total,Colorado,Female,85 years and over,2409.0,29720.0,1943.0,908.0,70.0,3510.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Male,30-39 years,81.0,2224.0,40.0,18.0,0.0,103.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Male,50-64 years,1016.0,11809.0,804.0,372.0,14.0,1461.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Male,55-64 years,817.0,9280.0,652.0,297.0,11.0,1183.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Male,65-74 years,1326.0,12834.0,1201.0,493.0,22.0,2053.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Male,75-84 years,1735.0,15999.0,1571.0,598.0,26.0,2732.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Male,85 years and over,2052.0,18393.0,1862.0,682.0,24.0,3254.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Female,35-44 years,61.0,1203.0,53.0,15.0,0.0,99.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Female,50-64 years,582.0,7003.0,541.0,228.0,19.0,913.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Female,55-64 years,487.0,5617.0,459.0,193.0,13.0,765.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Female,65-74 years,900.0,9497.0,825.0,328.0,17.0,1412.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Female,75-84 years,1509.0,15321.0,1266.0,495.0,32.0,2311.0
09/27/2023,01/01/2020,09/23/2023,By Total,Connecticut,Female,85 years and over,3010.0,29482.0,2078.0,762.0,45.0,4370.0
09/27/2023,01/01/2020,09/23/2023,By Total,Delaware,Male,30-39 years,28.0,768.0,26.0,14.0,0.0,40.0
09/27/2023,01/01/2020,09/23/2023,By Total,Delaware,Male,35-44 years,32.0,846.0,31.0,18.0,0.0,45.0
09/27/2023,01/01/2020,09/23/2023,By Total,District of Columbia,Male,25-34 years,17.0,752.0,26.0,14.0,0.0,29.0
09/27/2023,01/01/2020,09/23/2023,By Total,District of Columbia,Male,75-84 years,260.0,2530.0,359.0,193.0,0.0,426.0
09/27/2023,01/01/2020,09/23/2023,By Total,District of Columbia,Female,25-34 years,16.0,237.0,19.0,12.0,0.0,23.0
09/27/2023,01/01/2020,09/23/2023,By Total,District of Columbia,Female,30-39 years,29.0,345.0,29.0,21.0,0.0,37.0
09/27/2023,01/01/2020,09/23/2023,By Total,District of Columbia,Female,45-54 years,69.0,762.0,94.0,52.0,0.0,111.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,0-17 years,45.0,4871.0,102.0,15.0,17.0,148.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,18-29 years,342.0,10948.0,373.0,198.0,12.0,528.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,25-34 years,569.0,13388.0,634.0,348.0,13.0,866.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,30-39 years,853.0,16361.0,923.0,533.0,19.0,1261.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,35-44 years,1363.0,18774.0,1332.0,864.0,24.0,1854.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,40-49 years,2100.0,22152.0,2007.0,1388.0,34.0,2751.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,45-54 years,3192.0,30443.0,3129.0,2093.0,49.0,4273.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,50-64 years,8738.0,87802.0,9569.0,5669.0,110.0,12741.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,55-64 years,6794.0,69493.0,7648.0,4419.0,83.0,10102.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,65-74 years,10601.0,106306.0,13054.0,6949.0,151.0,16841.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,75-84 years,12881.0,128160.0,16025.0,8111.0,191.0,20969.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Male,85 years and over,10460.0,114608.0,12830.0,6114.0,122.0,17283.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,0-17 years,63.0,3517.0,104.0,24.0,14.0,155.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,30-39 years,611.0,7959.0,654.0,383.0,20.0,902.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,35-44 years,891.0,10169.0,971.0,561.0,23.0,1324.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,40-49 years,1309.0,12901.0,1401.0,844.0,25.0,1891.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,45-54 years,1906.0,18023.0,2066.0,1268.0,32.0,2735.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,50-64 years,5457.0,54236.0,6454.0,3607.0,95.0,8390.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,55-64 years,4341.0,43469.0,5221.0,2856.0,79.0,6777.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,65-74 years,7230.0,74156.0,8856.0,4597.0,128.0,11604.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,75-84 years,9443.0,108303.0,11609.0,5691.0,156.0,15503.0
09/27/2023,01/01/2020,09/23/2023,By Total,Florida,Female,85 years and over,11570.0,158651.0,13050.0,5931.0,171.0,18840.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,18-29 years,163.0,6155.0,150.0,63.0,10.0,258.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,30-39 years,441.0,7864.0,353.0,201.0,11.0,601.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,35-44 years,691.0,9265.0,546.0,337.0,14.0,912.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,40-49 years,1053.0,11550.0,848.0,541.0,11.0,1370.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,45-54 years,1680.0,16010.0,1376.0,881.0,18.0,2193.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,50-64 years,4488.0,43710.0,4041.0,2387.0,53.0,6191.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,55-64 years,3428.0,34175.0,3174.0,1829.0,40.0,4809.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,65-74 years,5232.0,47434.0,5015.0,2850.0,67.0,7458.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,75-84 years,5209.0,47847.0,5179.0,2798.0,58.0,7642.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Male,85 years and over,3005.0,32469.0,2967.0,1425.0,29.0,4575.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Female,35-44 years,540.0,5538.0,448.0,258.0,10.0,740.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Female,40-49 years,765.0,7355.0,644.0,388.0,12.0,1033.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Female,45-54 years,1155.0,10486.0,983.0,611.0,16.0,1541.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Female,50-64 years,3285.0,29259.0,2995.0,1755.0,66.0,4584.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Female,55-64 years,2571.0,22943.0,2389.0,1376.0,56.0,3635.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Female,65-74 years,3835.0,37179.0,3685.0,2083.0,66.0,5500.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Female,75-84 years,4371.0,46941.0,4192.0,2229.0,69.0,6393.0
09/27/2023,01/01/2020,09/23/2023,By Total,Georgia,Female,85 years and over,4069.0,54662.0,3573.0,1718.0,48.0,5968.0
09/27/2023,01/01/2020,09/23/2023,By Total,Hawaii,Male,30-39 years,32.0,725.0,37.0,17.0,0.0,52.0
09/27/2023,01/01/2020,09/23/2023,By Total,Hawaii,Male,75-84 years,235.0,5962.0,529.0,128.0,10.0,646.0
09/27/2023,01/01/2020,09/23/2023,By Total,Hawaii,Female,40-49 years,39.0,582.0,36.0,18.0,0.0,57.0
09/27/2023,01/01/2020,09/23/2023,By Total,Hawaii,Female,45-54 years,40.0,875.0,53.0,19.0,0.0,74.0
09/27/2023,01/01/2020,09/23/2023,By Total,Hawaii,Female,85 years and over,290.0,9997.0,712.0,112.0,12.0,901.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Male,25-34 years,24.0,876.0,15.0,10.0,0.0,29.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Male,50-64 years,587.0,5533.0,478.0,315.0,12.0,762.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Male,55-64 years,454.0,4385.0,359.0,230.0,12.0,595.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Male,65-74 years,768.0,7568.0,678.0,418.0,18.0,1043.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Male,75-84 years,971.0,9304.0,896.0,514.0,25.0,1376.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Male,85 years and over,762.0,7728.0,621.0,350.0,14.0,1045.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Female,Under 1 year,0.0,161.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Female,35-44 years,56.0,675.0,47.0,28.0,0.0,75.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Female,65-74 years,522.0,5444.0,514.0,319.0,12.0,729.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Female,75-84 years,611.0,7792.0,580.0,314.0,17.0,893.0
09/27/2023,01/01/2020,09/23/2023,By Total,Idaho,Female,85 years and over,781.0,10723.0,652.0,279.0,26.0,1178.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Male,40-49 years,909.0,11230.0,711.0,436.0,12.0,1195.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Male,45-54 years,1369.0,15758.0,1195.0,708.0,15.0,1870.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Male,50-64 years,3892.0,44726.0,3877.0,2149.0,52.0,5669.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Male,55-64 years,3092.0,35332.0,3129.0,1733.0,44.0,4529.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Male,65-74 years,5027.0,51292.0,5364.0,2827.0,58.0,7619.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Male,75-84 years,5624.0,55202.0,6259.0,3164.0,61.0,8777.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Male,85 years and over,5204.0,51917.0,5384.0,2543.0,59.0,8096.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Female,50-64 years,2247.0,27018.0,2495.0,1270.0,49.0,3519.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Female,55-64 years,1811.0,21729.0,2030.0,1024.0,43.0,2858.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Female,65-74 years,3298.0,37781.0,3682.0,1859.0,45.0,5163.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Female,75-84 years,4415.0,52949.0,4933.0,2290.0,83.0,7138.0
09/27/2023,01/01/2020,09/23/2023,By Total,Illinois,Female,85 years and over,6813.0,83554.0,6422.0,2730.0,133.0,10629.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Male,15-24 years,37.0,2397.0,46.0,17.0,0.0,66.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Male,40-49 years,547.0,7419.0,571.0,327.0,13.0,803.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Male,45-54 years,840.0,10195.0,861.0,505.0,15.0,1211.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Male,50-64 years,2577.0,28815.0,2833.0,1541.0,41.0,3907.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Male,55-64 years,2086.0,22814.0,2329.0,1241.0,34.0,3205.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Male,65-74 years,3499.0,34032.0,4018.0,2091.0,56.0,5476.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Male,75-84 years,4024.0,35832.0,4379.0,2266.0,64.0,6197.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Male,85 years and over,3296.0,29196.0,3182.0,1553.0,42.0,4965.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Female,35-44 years,209.0,3258.0,239.0,119.0,10.0,339.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Female,45-54 years,539.0,6158.0,626.0,319.0,17.0,861.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Female,50-64 years,1770.0,18686.0,2213.0,1081.0,58.0,2954.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Female,55-64 years,1420.0,14983.0,1809.0,879.0,44.0,2390.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Female,65-74 years,2534.0,25639.0,2909.0,1432.0,53.0,4059.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Female,75-84 years,3325.0,34570.0,3430.0,1628.0,77.0,5200.0
09/27/2023,01/01/2020,09/23/2023,By Total,Indiana,Female,85 years and over,4491.0,47176.0,3678.0,1585.0,77.0,6658.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Male,45-54 years,284.0,3594.0,241.0,125.0,10.0,410.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Male,50-64 years,944.0,11031.0,838.0,412.0,23.0,1389.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Male,55-64 years,755.0,8811.0,677.0,333.0,15.0,1110.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Male,65-74 years,1219.0,14371.0,1227.0,532.0,28.0,1938.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Male,75-84 years,1691.0,16561.0,1520.0,660.0,40.0,2589.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Male,85 years and over,1788.0,16782.0,1602.0,627.0,39.0,2800.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Female,50-64 years,567.0,6724.0,565.0,242.0,20.0,910.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Female,55-64 years,461.0,5439.0,465.0,195.0,15.0,746.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Female,65-74 years,856.0,10125.0,852.0,379.0,28.0,1356.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Female,75-84 years,1235.0,14939.0,1146.0,441.0,41.0,1980.0
09/27/2023,01/01/2020,09/23/2023,By Total,Iowa,Female,85 years and over,2280.0,26464.0,1802.0,604.0,77.0,3555.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Male,50-64 years,961.0,10360.0,850.0,483.0,23.0,1351.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Male,55-64 years,758.0,8343.0,687.0,384.0,20.0,1081.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Male,65-74 years,1232.0,13245.0,1247.0,622.0,28.0,1882.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Male,75-84 years,1572.0,14361.0,1466.0,753.0,35.0,2315.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Male,85 years and over,1411.0,13865.0,1310.0,554.0,35.0,2200.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Female,50-64 years,645.0,6838.0,653.0,336.0,25.0,985.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Female,55-64 years,525.0,5560.0,523.0,271.0,23.0,799.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Female,65-74 years,904.0,9507.0,899.0,433.0,34.0,1403.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Female,75-84 years,1092.0,13197.0,1116.0,469.0,44.0,1780.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kansas,Female,85 years and over,1726.0,21218.0,1477.0,570.0,56.0,2688.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Male,40-49 years,417.0,6497.0,450.0,220.0,12.0,659.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Male,45-54 years,715.0,8806.0,751.0,377.0,13.0,1102.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Male,50-64 years,2104.0,24021.0,2506.0,1158.0,49.0,3493.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Male,55-64 years,1647.0,18783.0,2026.0,918.0,42.0,2789.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Male,65-74 years,2783.0,26322.0,3471.0,1594.0,59.0,4713.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Male,75-84 years,2966.0,26322.0,3644.0,1612.0,57.0,5051.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Male,85 years and over,2003.0,17833.0,2225.0,922.0,50.0,3350.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Female,40-49 years,291.0,3946.0,368.0,168.0,10.0,501.0
